Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,852595001043,SP NUTRITION. CREATINA MONOHIDRATADA ,Vitaminas,,14,28,,,,,5,60 SERVICIOS,,,,,5,
,852595001029,SP GLUTAMINA MICRONIZADA ,Vitaminas,,14,28,,,,,5,60 SERVICIOS,,,,,2,
,852595003061,SP NUTRITION. AMINO 6.000,Vitaminas,,17.5,35,,,,,5,300 TABLETAS ,,,,,1,
,852595001012,SP NUTRITION COLAGGENO PEPTIDES,Vitaminas,,14,28,,,,,5,27 SERVICIOS ,,,,,2,
,852595003177,SP NUTITION CREATINA MONOHIDRATADA EN CAPSULAS ,Vitaminas,,11,22,,,,,5,120 CAPSULAS,,,,,2,
,195893305070,SP NUTRITION CELLU ZERO ,Vitaminas,,19,38,,,,,5,120 CAPSULAS,,,,,1,
,852595010007,SP NUTRITION HMB 1.000 ,Vitaminas,,11.5,23,,,,,5,120 CAPSULAS,,,,,1,
,852595099941,SP NUTRITION PHYTO WOMEN ,Vitaminas,,21,42,,,,,5,90 CAPSULAS,,,,,2,
,852595010021,SP NUTRITION MAG-6 ,Vitaminas,,16,32,,,,,5,90 CAPSULAS,,,,,2,
,852595010052,SP NUTRITION TESTODROL,Vitaminas,,20,40,,,,,5,120 CAPSULAS,,,,,4,
,852595110011,SP NUTRITION. IMMUNE PROTECTOR,Vitaminas,,17.5,35,,,,,5,100 TABLETAS,,,,,6,
,852595010076,SP NUTRITION. PROSTADROL,Vitaminas,,16,32,,,,,5,60 TABLETAS,,,,,2,
,852595009988,SP NUTRITION. LIPOZERO APETITE CONTROL ,Vitaminas,,17.5,35,,,,,5,45 CAPSULAS,,,,,1,
,852595003092,SP NUTRITION LIPOZERO UNLIMITED,Vitaminas,,11,22,,,,,5,30 CAPSULAS,,,,,1,
,087674012935,SWASON. GINKGO BILOBA EXTRACT,Vitaminas,,13,26,,,,,5,60 MG 240 CAPSULAS,,,,,2,
,087614018928,SWASON.GINKGO BILOBA EXTRACT,Vitaminas,,9,18,,,,,5,60 MG 120 CAPSULAS,,,,,1,
,087614116136,SWASON.TURMERIC Y BLACK PEPPER ,Vitaminas,,9,18,,,,,5,60 CAPSULAS ,,,,,1,
,087614210346,SWASON. COLAGENO MARINO PEPTIDOS,Vitaminas,,9,18,,,,,5,60 CAPSULAS ,,,,,3,
,087614019826,SWASON. ACIDO ALPHA LIPOICO,Vitaminas,,8,16,,,,,5,"100 MG, 120 CAPSULAS ",,,,,1,
,087614027203,SWASON. DIOSMINA CON HESPERIDINA,Vitaminas,,11,22,,,,,5,60 CAPSULAS ,,,,,3,
,087614014777,SWASON. CASCARA SAGRADA,Vitaminas,,8.5,17,,,,,5,450 MG 100 CAPSULAS,,,,,5,
,087614141619,SWASON. ALOE VERA ,Vitaminas,,6,12,,,,,5,25 MG 100 CAPSULAS,,,,,3,
,087614018263,SWASON. L GLUTAMINE,Vitaminas,,6,12,,,,,5,500 MG 100 CAPSULAS ,,,,,2,
,087614112435,SWASON. TRIPLE MAGNESIO  COMPLEX,Vitaminas,,3,6,,,,,5,400 MG 30 CAPSULAS,,,,,4,
,087614018089,SWASON. TRIPLE MAGNESIO  COMPLEX,Vitaminas,,6,12,,,,,5,400 MG 100 CAPSULAS,,,,,2,
,087614014241,SWASON. PALO DE ARCO,Vitaminas,,5,10,,,,,5,500 MG 100 CAPSULAS ,,,,,1,
,087614115443,SWASON. GABA ,Vitaminas,,3.5,7,,,,,5,250 MG 60 CAPSULAS NEUROTRANSMISOR DEL SISTEMA NERVIOSO,,,,,2,
,087614018720,SWASON. GABA ,Vitaminas,,9,18,,,,,5,500 MG 100 CAPSULAS ,,,,,3,
,087614026763,SWASON. GABA ,Vitaminas,,7.5,15,,,,,5,750 MG 60  CAPSULAS,,,,,4,
,087614117454,SWASON. KELP ALGAS MARINAS ,Vitaminas,,8.5,17,,,,,5,250 TABLETAS,,,,,3,
,087614040196,"SWASON. LECITINA, KELP , B6 Y VINAGRE DE MANZANA ",Vitaminas,,6,12,,,,,5,240 TABLETAS,,,,,1,
,087614019666,SWASON. MILK THISTLE (CARDO LECHOSO),Vitaminas,,8,16,,,,,5,500 MG 100 CAPSULAS ,,,,,1,
,087614017860,SWASON.  CRANBERRY (ARANDANO ROJO),Vitaminas,,11,22,,,,,5,180 CAPSULAS,,,,,4,
,087614140728,SWASON. YOHIMBE ,Vitaminas,,10,20,,,,,5,"120 CAPSULAS, 500  MG , AFRODISIACO , POTENTE SEXUAL PARA LA MUJER ",,,,,2,
,087614019406,SWASON. TURMERIC (CURCUMA),Vitaminas,,4.5,9,,,,,5,720 MG 100 CAP,,,,,1,
,087614060101,SWASON. SPIRULINA ,Vitaminas,,11,22,,,,,5,500 MG 180 TABLETAS,,,,,1,
,087674012669,SWASON. L-ARGININA Y L- ORNITHINA,Vitaminas,,6,12,,,,,5,100 CAPSULAS AMINOACIDOS  ,,,,,3,
,087614113531,SWASON. ST JHON WORT (HIERBA DE SAN JUAN),Vitaminas,,5,10,,,,,5,"375 MG , 120 CAPSULAS, ANTIDEPRESIVO, PARA LA ANSIEDAD  E INSOMNIO ",,,,,2,
,087614114095,SWASON. SOY LECITHIN (LECITINA DE SOYA),Vitaminas,,10,20,,,,,5,"1200 MG,  90 CAPSULAS BLANDAS ",,,,,2,
,087614170206,"SWASON. MULTI OMEGA 3,6,9. ",Vitaminas,,12.5,25,,,,,5,"800 MG DE CADA UNO ,120 CAPSULAS BLANDAS ",,,,,1,
,087614112534, SWASON. OMEGA 3 ,Vitaminas,,12.5,25,,,,,5,"1 GRAMO , 150 CAPSULAS BLANDAS , SABOR A LIMON",,,,,1,
,087614012063,SWASON. ZINC GLUCONATE,Vitaminas,,6.5,13,,,,,5,"50 MG 250 CAPSULAS , SUBIR EL SISTEMA INMUNE (RESFRIADO)",,,,,1,
,087614118284,SWASON. COLAGENO PEPTIDES + VIT C,Vitaminas,,15,30,,,,,5,1000 MG 250 TABLETAS,,,,,2,
,087614019109,Saw Palmetto Swanson 540Mg 250 Caps,Vitaminas,,10,20,,,,,5,0,,,,,1,
,087614018409,SWASON. ZINC Y C,Vitaminas,,9,18,,,,,5,200 CAPSULAS MASTICABLES,,,,,2,
,087614011363,SWASON. VIT E,Vitaminas,,4,8,,,,,5,200 IU 100 CAPSULAS BLANDAS,,,,,1,
,087614020679,SWASON. SELENIUM,Vitaminas,,5,10,,,,,5,200 MCG 90 CAPSULAS,,,,,3,
,087614015026, SWASON. MELATONINA,Vitaminas,,4,8,,,,,5,3 MG 120 CAPSULAS,,,,,3,
,087614142876,SWASON. ASHWAGHANDA,Vitaminas,,4.5,9,,,,,5,450 MG 60 CAPSULAS,,,,,2,
,087614019802,SWASON. YOHIMBE BARK,Vitaminas,,5.5,11,,,,,5,75 MG 100 CAPSULAS,,,,,3,
,087614113906,SWASON. MORINGA OLEIFERA,Vitaminas,,5,10,,,,,5,400 MG 60 CAPSULAS (ANTIOXIDANTE),,,,,4,
,087614112763,SWASON. ALFALFA SEED,Vitaminas,,5,10,,,,,5,400 MG 60 CAPSULAS ,,,,,1,
,087614140773,SWASON. ARTICHOKE EXTRACT,Vitaminas,,4,8,,,,,5,250 MG60 CAPSULAS ,,,,,2,
,087614115580,SWASON. L-CARNITINA,Vitaminas,,5,10,,,,,5,500 MG 30 TABLETAS,,,,,3,
,087614018836,"Hair, Skin and Nails Swanson",Vitaminas,,8,16,,,,,5,60 TABLETAS,,,,,3,
,087614017976,SWASON. MULTIVITAMINICO DE HOMBRE ,Vitaminas,,7.5,15,,,,,5,90 CAPSULAS,,,,,1,
,087614019772,SWASON. GREEN TEA (TE VERDE),Vitaminas,,6,12,,,,,5,500 MG  100 CAPSULAS,,,,,2,
,087614141398,SWASON. OLIVE LEAF EXTRACT (EXTRACTO DE HOJA DE OLIVA),Vitaminas,,8,16,,,,,5,750 MG 60  CAPSULAS,,,,,1,
,087614117614,SWASON. COLON HELPER,Vitaminas,,10.5,21,,,,,5,60 CAPSULAS ,,,,,3,
,087614113326,SWASON. GOTU KOLA (CENTELLA ASIATICA),Vitaminas,,3.5,7,,,,,5,435 MG 60 CAPSULAS,,,,,3,
,087614113357,SWASON. FENUGREEK SEED (FENOGRECO),Vitaminas,,5,10,,,,,5,610 MG 90 CAPSULASS,,,,,2,
,087614015064,SWASON. VALERIAN ROOT (VALERIANAS),Vitaminas,,5,10,,,,,5,475 MG 100 CAPSULAS,,,,,1,
,087614019567,SWASON. OREGANO,Vitaminas,,5,10,,,,,5,450 MG 90 CAPSULAS,,,,,1,
,087614040813,SWASON. VINAGRE DE MANZANA,Vitaminas,,1.5,3,,,,,5,200 MG 30 TABLETAS,,,,,2,
,087614112367,SWASON. 5-HTP,Vitaminas,,7.5,15,,,,,5,50 MG 60 CAPSULAS,,,,,3,
,087614025186,SWASON. 5-HTP,Vitaminas,,6,12,,,,,5,100 MG 60 CAPSULAS,,,,,4,
,087614029634,SWASON. 5-HTP,Vitaminas,,9,18,,,,,5,200 MG 60 CAPSULAS,,,,,4,
,087614022628,SWASON. DHEA,Vitaminas,,10,20,,,,,5,100 MG 60 CAPSULAS,,,,,1,
,087614021096,SWASON. RESVERATROL,Vitaminas,,4,8,,,,,5,5 MG 60 CAPSULAS,,,,,2,
,087614022826,Resveratrol Swanson 50Mg 30Caps,Vitaminas,,4,8,,,,,5,0,,,,,4,
,087614022833,SWASON. RESVERATROL,Vitaminas,,6,12,,,,,5,100 MG 30 CAPSULAS,,,,,2,
,087614112428,SWASON. GINKGO BILOBA EXTRACT,Vitaminas,,4,8,,,,,5,60 MG 30 CAPSULAS,,,,,4,
,087614116860,SWASON. BIOTIN,Vitaminas,,6,12,,,,,5,10.000 MCG 60 SOFTGELS,,,,,4,
,087614018775,SWASON. BIOTIN ,Vitaminas,,5,10,,,,,5,5.000 MCG 100 CAPSULAS,,,,,4,
,087614112213,SWASON. VIT B12 CYANOCOBALAMIN,Vitaminas,,7.5,15,,,,,5,1.000 MCG 59 ML,,,,,1,
,300054237200,Centrum Kids Masticables 80Tabs,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,311845061713,MASON NATURAL. MAGNESIUM GLUCONATE,Vitaminas,,5,10,,,,,5,550 MG 100 TABLETAS,,,,,1,
,015794026853,COUNTRY LIFE. CHELATED MAGNESIUM,Vitaminas,,10,20,,,,,5,250 MG 90 TABLETAS,,,,,1,
,x003amkus3,MAGNESIUM CITRATE,Vitaminas,,17.5,35,,,,,5,800 MG 180 CAPSULAS,,,,,1,
,865476000226,Citrato De Magnesio Swanson 400Mg 180 Caps,Vitaminas,,17.5,35,,,,,5,0,,,,,2,
,x0017pqk9n,DIVINE BOUNTY. MAGNESIUM CITRATE ,Vitaminas,,20,40,,,,,5,1300 MG 120 CAPSULAS,,,,,1,
,740985223093,21 ST CENTURY. VIT B-12,Vitaminas,,5,10,,,,,5,500 MCG 110 TABLETAS,,,,,3,
,740985228814,21 ST CENTURY. BIOTIN,Vitaminas,,4,8,,,,,5,800 MCG 110 TABLETAS,,,,,1,
,740985217818,Extracto De Castaña De India  21St Century 60Caps Veganas,Vitaminas,,7.5,15,,,,,5,0,,,,,1,
,7594002590551,PHARMAPLANT CIRQ-PLANT NACIONAL,Vitaminas,,4,8,,,,,5,60 CAPSULAS ,,,,,2,
,7595102000353,PHARMAPLANT. CENTELLA ASIATICA NACIONAL,Vitaminas,,3.5,7,,,,,5,300 MG 60 CAP,,,,,2,
,7595102000476,PHARMAPLANT. LEVADURA DE CERVEZA NACIONAL,Vitaminas,,4.5,9,,,,,5,30OMG 60 CAPSULAS,,,,,2,
,7594002590582,PHARMAPLANT. GINKGO BILOBA NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000391,PHARMAPLANT. SEX FORCE NACIONAL,Vitaminas,,3.5,7,,,,,5,500 MG 60 CAPSULAS ,,,,,2,
,7594002590568,PHARMAPLANT. CASCARA SAGRADA NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000445,PHARMAPLANT. NAME SALVAJE NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000438,PHARMAPLANT. LINAZABILA NACIONAL,Vitaminas,,3.5,7,,,,,5,500MG 60 CAPSULAS,,,,,2,
,742709100253,PRO SALUD. QUIEBRA BARRIGA NACIONAL,Vitaminas,,7,14,,,,,5,500 MG 70 CAPSULAS ADELGAZANTE,,,,,2,
,07591108449281,FIGUREL ADELGAZANTE,Vitaminas,,5,10,,,,,5,400 MG 90 CAPSULAS,,,,,2,
,1726268350600,ADELGALAX ,Vitaminas,,5,10,,,,,5,90 CAPSULAS,,,,,11,
,1726268350600,ADELGALAX ,Vitaminas,,3.5,7,,,,,5,60 CAPSULAS ,,,,,3,
,817716015927,BEST NATURAL LEVADURA DE CERVEZA ,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,x003ig9eal,MELATONINA EN GOMITAS ,Vitaminas,,6.5,13,,,,,5,"5 MG, 100 GOMITAS",,,,,1,
,733739024206,Levadura De Cerveza Now 454G,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,096619982110,Vitamina E Kirkland 180Mg(400 Iu) 500Caps Blandas,Vitaminas,,14,28,,,,,5,0,,,,,3,
