Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,,FITO SANA.MAPURITE NACIONAL ,Vitaminas,,2.5,5,,,,,5,"ANTIINFLAMATORIO Y ANTITUMORAL, QUISTES MIOMAS Y FIBROMAS",,,,,2,
,,FITO SANA.CHANCA PIEDRA NACIONAL,Vitaminas,,2.5,5,,,,,5,DISMINUYE Y EXPULSA CALCULOS EN RIÑONES Y VESICULAS,,,,,2,
,,FITO SANA.PALO DE ARCO NACIONAL,Vitaminas,,2.5,5,,,,,5,"ANEMIA Y ULCERAS, SIFILIS Y CANCER ",,,,,2,
,,FITO SANA.CENTELLA ALCACHOFA NACIONAL,Vitaminas,,2.5,5,,,,,5,ADELGAZANTE ,,,,,2,
,,FITO SANA.4 EN 1 NACIONAL,Vitaminas,,2.5,5,,,,,5,QUEMADOR DE GRASA,,,,,2,
,,FITO SANA.COLA DE CABALLO NACIONAL,Vitaminas,,2.5,5,,,,,5,TRATAMIENTO PARA LOS RIÑONES ,,,,,2,
,,"FITO SANA.PIÑA, LINAZA Y SABILA NACIONAL",Vitaminas,,2.5,5,,,,,5,LAXANTE NATURAL,,,,,2,
,,FITO SANA.PROSTAT NACIONAL,Vitaminas,,2.5,5,,,,,5,PARA LA PROSTATA ,,,,,2,
,,FITO SANA.CASCARA SAGRADA NACIONAL,Vitaminas,,2.5,5,,,,,5,LAXANTE SUAVE,,,,,2,
,,FITO SANA.AJO PEREJIL NACIONAL,Vitaminas,,2.5,5,,,,,5,DISMINUYE EL COLESTEROL Y REGULA LA HIPERTENSION,,,,,2,
,,FITO SANA.ESCOBA DE CARNICERO NACIONAL,Vitaminas,,2.5,5,,,,,5,"VARICES, HEMORROIDES Y CIRCULACION",,,,,2,
,,FITO SANA.LOCHITA NACIONAL,Vitaminas,,2.5,5,,,,,5,"OXIGENANTE, MEMORIA Y CICATRIZANTE",,,,,2,
